"gene","LFC_diesel_only_wald","padj_diesel_only_wald","LFC_salinity_only_wald","padj_salinity_only_wald","LFC_diesel_added_wald","padj_diesel_added_wald","LFC_salinity_added_wald","padj_salinity_added_wald","LFC_interactive_only_wald","padj_interactive_only_wald","LFC_combined_wald","padj_combined_wald","LFC_diesel_only_LRT","padj_diesel_only_LRT","LFC_salinity_only_LRT","padj_salinity_only_LRT","LFC_full_model_LRT","padj.x","LFC_interactive_only_LRT","padj.y"
"tRNAscan-SE.tRNA.utg4207.Pseudo(ACA).1",-0.00012338358529503,0.999745842719034,0.51776354435647,0.331261016605584,-0.373585493636811,0.30304853503957,0.23695745192012,0.714970280524848,-0.0511011523374313,0.938839862779852,-0.165008078212951,0.813539845606983,-1.02110380404409,0.999103041487149,1.30136405843982,0.175339916283463,-0.721029875154458,0.125900587127096,-0.721029875154458,NA
"evm.TU.utg4207.8",0.000356418677119105,0.999745842719034,0.605782579655339,0.128514289582487,0.0338862365801423,0.960977675710675,0.152668936720958,0.759243073172681,-0.169041864410873,0.810782648014438,0.695582537147817,0.0973276321149085,0.667909816863666,0.999103041487149,0.817392953508375,0.193232219470325,-0.61004267034529,0.228698924543562,-0.61004267034529,0.792080436291565
"evm.TU.utg4207.9",2.3939708407092e-05,0.999745842719034,-0.641641449793575,0.137977937813634,-0.500042434703889,0.196020000561008,-1.66785590858877,0.000301061836204674,-0.255742271195649,0.577508231954505,-1.60339297606839,0.00047328323042196,0.0603155264108404,0.999103041487149,-0.954389816389019,0.164567737151925,-1.11332172400443,0.000596723926758331,-1.11332172400443,0.563057914085957
"evm.TU.utg4207.11",5.86650621161725e-05,0.999745842719034,0.276314750778194,0.614563635673481,-0.0602594046197022,0.926221003755288,0.057605323785956,0.934371432135569,-0.0645575687636453,0.946136821122074,0.196396926240909,0.748403497293175,0.221114667063089,0.999103041487149,0.474238540890932,0.581556017967364,-0.382500568241754,0.908798696615462,-0.382500568241754,0.938035314335284
"evm.TU.utg4207.12",-0.00017272800256147,0.999745842719034,0.27583980896551,0.484198088183248,-0.330274169401312,0.386402937792792,0.0300452990110111,0.951666282133376,-0.114830517847485,0.907988278157617,-0.133532363046585,0.765685136526019,-0.205934426903441,0.999103041487149,0.339615245181967,0.561114584109176,-0.305211491316254,0.389694958124081,-0.305211491316254,0.896446637082328
"evm.TU.utg4207.13.14",1.66311093634465e-05,0.999745842719034,0.0507116229576444,0.932265049399006,-0.0952103835435706,0.871007237802752,-0.0934633292552996,0.852494469156691,-0.0607961077029495,0.960390884012794,-0.0786060602833408,0.883950166082643,0.0268587291393471,0.999103041487149,0.0625363448807924,0.944687312203613,-0.199496690173087,0.985813330427169,-0.199496690173087,0.95407848202438
"utg4207.equina_smart_512932.path1",-0.000206880065318249,0.999745842719034,1.26107733333415,0.011555644967239,0.0711825630622248,0.907743735942058,2.33257317029461,4.38227366552971e-05,0.158517103259632,0.762053410273297,1.47676225014218,0.00513827970054697,-0.811157928194522,0.999103041487149,1.86318166561032,0.0255359262461705,1.02488757344071,1.34882427928791e-05,1.02488757344071,0.743138900684804
"evm.TU.utg4207.15",0.000136363314481026,0.999745842719034,-0.40549998526924,0.399659489594872,-0.177585478821445,0.728376148492236,-1.08279798451149,0.0214495927754934,-0.169262339580795,0.775548048781329,-0.752644297395062,0.113592572191135,0.392685441957541,0.999103041487149,-0.649259991692096,0.290021145793612,-0.82001568583762,0.0531974495673393,-0.82001568583762,0.757525332495744
"evm.TU.utg4207.16",4.11550675568222e-05,0.999745842719034,0.242988098187857,0.678645837765356,0.0624914426734759,0.899265058697692,0.258770826493292,0.686203060776821,-0.00265144134540647,0.997325245058026,0.432452230625025,0.471924355805284,0.45034822598388,0.999103041487149,0.777991804424579,0.625385387937083,-0.0469621273882977,0.826666901823896,-0.0469621273882977,NA
"evm.TU.utg4207.17",9.31978223508293e-05,0.999745842719034,0.140859189099566,0.820834312224859,-0.00956097449172824,0.986814342948108,-0.18512884836013,0.777680923000948,-0.0526948029674822,0.911578435432808,0.139271568193882,0.841196260543425,1.03601551950504,0.999103041487149,0.510381532120512,0.828147571474389,-1.12441052985096,0.902328293181373,-1.12441052985096,NA
