candidate_id	matched_de_id	matched_candidate_column	contrast	direction	logfc	padj
utg18932.equina_smart_17200.mrna3	utg18932.equina_smart_17200.path3	gene_id	interactive_only_LRT	down	-2.79872089666941	0.0267817283639551
utg1897.equina_smart_1438422.mrna1	utg1897.equina_smart_1438422.path1	gene_id	salinity_only_wald	up	2.22182498299728	0.000686086897170345
utg1897.equina_smart_1438422.mrna1	utg1897.equina_smart_1438422.path1	gene_id	combined_wald	up	1.38232799011616	0.0199436548175468
utg1897.equina_smart_1438422.mrna1	utg1897.equina_smart_1438422.path1	gene_id	salinity_only_LRT	up	3.16290828632968	0.00114337532633892
utg1897.equina_smart_1438422.mrna1	utg1897.equina_smart_1438422.path1	gene_id	full_model_LRT	down	-1.34625128469979	0.000476053970102123
utg190.equina_smart_1083425.mrna1	utg190.equina_smart_1083425.path1	gene_id	salinity_added_wald	down	-1.16537792174768	0.00361400755349281
utg190.equina_smart_1083425.mrna1	utg190.equina_smart_1083425.path1	gene_id	combined_wald	down	-1.13067013801865	0.00456246171037685
evm.utg1900.28	evm.TU.utg1900.28	gene_id	salinity_added_wald	up	1.03277120916678	0.0240636842742666
evm.utg1900.28	evm.TU.utg1900.28	gene_id	combined_wald	up	1.57418464440734	0.00060337611360561
evm.utg1900.28	evm.TU.utg1900.28	gene_id	salinity_only_LRT	up	1.22408096155926	0.0474477689955322
evm.utg1919.55	evm.TU.utg1919.55	gene_id	salinity_only_LRT	down	-2.58197042585356	0.00292052146150198
utg192.equina_smart_92769.mrna7	utg192.equina_smart_92769.path7	gene_id	salinity_added_wald	up	1.86115349876269	1.55089791020414e-05
utg192.equina_smart_92769.mrna7	utg192.equina_smart_92769.path7	gene_id	combined_wald	up	1.43433910680852	0.000660830834144156
utg192.equina_smart_92769.mrna7	utg192.equina_smart_92769.path7	gene_id	full_model_LRT	up	1.25154322621469	8.52405163672308e-06
evm.utg1931.70	evm.TU.utg1931.70	gene_id	full_model_LRT	down	-1.62605341376692	0.0257661317102517
evm.utg19356.7	evm.TU.utg19356.7	gene_id	salinity_added_wald	down	-2.09236775751898	0.00361234035772896
evm.utg19356.7	evm.TU.utg19356.7	gene_id	combined_wald	down	-2.95568905253387	0.000246220520280193
evm.utg19356.7	evm.TU.utg19356.7	gene_id	full_model_LRT	down	-1.69281020512175	0.00445109771431237
evm.utg19590.16	evm.TU.utg19590.16	gene_id	salinity_added_wald	down	-1.72428476692917	0.00366869843466605
evm.utg19590.16	evm.TU.utg19590.16	gene_id	full_model_LRT	down	-1.32928401065891	0.00275587648584851
evm.utg19590.19	evm.TU.utg19590.19	gene_id	diesel_added_wald	down	-1.7771716441944	0.00243811102078263
evm.utg19590.19	evm.TU.utg19590.19	gene_id	full_model_LRT	down	-1.51321198928235	5.30005326096438e-05
evm.utg19590.15	evm.TU.utg19590.15	gene_id	salinity_added_wald	down	-1.99975144875447	0.00114450908760778
evm.utg19590.15	evm.TU.utg19590.15	gene_id	salinity_only_LRT	down	-1.60127361252261	0.0495055331493736
evm.utg19590.15	evm.TU.utg19590.15	gene_id	full_model_LRT	down	-1.20140081933773	0.000133340578221154
evm.utg1962.36	evm.TU.utg1962.36	gene_id	salinity_only_wald	down	-1.6932706852339	4.24680789772656e-05
evm.utg1962.36	evm.TU.utg1962.36	gene_id	salinity_added_wald	down	-2.43750655537849	4.00077447486894e-08
evm.utg1962.36	evm.TU.utg1962.36	gene_id	combined_wald	down	-2.35525040511572	7.90842850122072e-08
evm.utg1962.36	evm.TU.utg1962.36	gene_id	salinity_only_LRT	down	-2.0022272924333	0.000288125905232383
evm.utg1962.41	evm.TU.utg1962.41	gene_id	salinity_only_wald	up	1.00534847322454	0.00205809570813846
evm.utg1962.41	evm.TU.utg1962.41	gene_id	salinity_only_LRT	up	1.1909494503861	0.00261406621031569
utg2007.equina_smart_1739258.mrna7	utg2007.equina_smart_1739258.path7	gene_id	diesel_added_wald	down	-1.15951347588651	0.0210207520497713
utg2007.equina_smart_1739258.mrna7	utg2007.equina_smart_1739258.path7	gene_id	salinity_added_wald	down	-2.06781711429729	0.000712569104101146
utg2007.equina_smart_1739258.mrna7	utg2007.equina_smart_1739258.path7	gene_id	combined_wald	down	-2.19322944691817	0.000339092276776226
utg2007.equina_smart_1739258.mrna7	utg2007.equina_smart_1739258.path7	gene_id	full_model_LRT	down	-2.22374882935558	0.00408244145125363
evm.utg20090.6	evm.TU.utg20090.6	gene_id	salinity_added_wald	up	1.09114170952327	0.0459723150494044
evm.utg20090.8	evm.TU.utg20090.8	gene_id	salinity_added_wald	down	-1.54869977124745	0.0171829176684766
evm.utg20090.8	evm.TU.utg20090.8	gene_id	combined_wald	down	-1.20319908245366	0.0469615829398315
utg203.equina_smart_1403020.mrna1	utg203.equina_smart_1403020.path1	gene_id	salinity_only_wald	up	1.91418832385952	3.20954096758602e-05
utg203.equina_smart_1403020.mrna1	utg203.equina_smart_1403020.path1	gene_id	combined_wald	up	1.08885713271338	0.0176053422787445
utg203.equina_smart_1403020.mrna1	utg203.equina_smart_1403020.path1	gene_id	salinity_only_LRT	up	2.25960721846261	5.38100210053548e-05
utg203.equina_smart_1403064.mrna1	utg203.equina_smart_1403064.path1	gene_id	salinity_only_wald	down	-1.12773968869913	0.0164679471616564
utg203.equina_smart_1403064.mrna1	utg203.equina_smart_1403064.path1	gene_id	salinity_added_wald	down	-2.79997493172132	5.00015052571143e-07
utg203.equina_smart_1403064.mrna1	utg203.equina_smart_1403064.path1	gene_id	combined_wald	down	-1.81921886300586	0.00047168567728414
utg203.equina_smart_1403064.mrna1	utg203.equina_smart_1403064.path1	gene_id	salinity_only_LRT	down	-1.65009507623162	0.0499633853355208
utg203.equina_smart_1403064.mrna1	utg203.equina_smart_1403064.path1	gene_id	full_model_LRT	down	-1.59378936172441	1.78472809039367e-07
evm.utg203.71	evm.TU.utg203.71	gene_id	salinity_added_wald	down	-3.61388582752204	3.29716550608026e-05
evm.utg203.71	evm.TU.utg203.71	gene_id	combined_wald	down	-2.85757836750135	0.000289736302675418
evm.utg203.71	evm.TU.utg203.71	gene_id	full_model_LRT	down	-2.83812596298344	0.000390704362474658
evm.utg2071.84	evm.TU.utg2071.84	gene_id	salinity_only_wald	up	1.19362499398373	0.00862781110524176
evm.utg2071.84	evm.TU.utg2071.84	gene_id	salinity_added_wald	up	1.8737193928999	0.000165146491165742
evm.utg2071.84	evm.TU.utg2071.84	gene_id	combined_wald	up	1.3726193699463	0.00413753099892638
evm.utg2071.84	evm.TU.utg2071.84	gene_id	salinity_only_LRT	up	1.64183359208324	0.00760858171243204
evm.utg2073.35	evm.TU.utg2073.35	gene_id	salinity_only_wald	down	-1.37924523620417	0.0218123745101186
evm.utg2073.35	evm.TU.utg2073.35	gene_id	salinity_added_wald	down	-1.90228910724254	0.0103734424484664
